iter	RMSE
799	3276348.107
800	3273857.277
801	3266512.695
802	3265896.203
803	3261950.706
804	3259551.543
805	3258839.087
806	3258303.713
807	3254918.33
808	3254573.446
809	3251434.62
810	3247088.172
811	3243682.626
812	3238978.34
813	3233961.404
814	3232780.836
815	3231813.713
816	3226665.315
817	3225185.454
818	3221531.854
819	3217739.423
820	3217094.215
821	3214816.664
822	3212586.508
823	3211842.856
824	3208676.358
825	3207323.311
826	3204087.935
827	3199496.833
828	3198869.2
829	3197547.8
830	3195598.274
831	3191981.365
832	3191684.322
833	3189067.485
834	3188427.596
835	3182660.95
836	3182306.452
837	3181959.213
838	3178895.337
839	3173673.962
840	3173215.707
841	3171066.22
842	3170093.719
843	3169237.301
844	3167294.698
845	3165241.962
846	3161770.034
847	3157297.479
848	3155848.912
849	3155516.869
850	3150774.994
851	3148578.33
852	3146146.971
853	3141204.512
854	3138898.477
855	3138695.06
856	3137347.499
857	3135169.759
858	3133036.94
859	3130983.778
860	3129069.874
861	3126289.31
862	3121132.994
863	3117006.839
864	3115839.851
865	3115380.701
866	3112467.283
867	3111163.187
868	3109359.093
869	3104533.734
870	3101746.587
871	3101628.699
872	3096832.612
873	3093423.947
874	3090554.41
875	3088719.245
876	3085463.88
877	3081598.149
878	3078807.633
879	3075230.589
880	3074264.576
881	3072593.906
882	3072131.672
883	3069328.347
884	3063856.932
885	3061555.875
886	3059399.344
887	3055597.927
888	3053759.189
889	3051333.761
890	3050654.972
891	3045042.816
892	3043627.5
893	3043470.11
894	3043350.459
895	3040527.724
896	3039503.452
897	3039355.271
898	3037984.602
899	3035304.002
900	3032218.189
901	3028431.258
902	3026597.512
903	3025260.108
904	3023958.101
905	3023865.691
906	3020722.818
907	3018352.311
908	3015969.924
909	3011820.758
910	3008988.911
911	3003653.155
912	3003518.749
913	3001070.272
914	3000480.98
915	2999998.639
916	2998931.228
917	2996628.613
918	2993938.256
919	2992252.404
920	2991328.396
921	2987622.755
922	2984953.878
923	2983929.457
924	2983091.457
925	2980861.047
926	2980626.752
927	2979555.509
928	2979293.338
929	2978052.674
930	2977591.191
931	2974797.495
932	2972600.035
933	2970931.469
934	2969544.742
935	2965310.087
936	2963543.475
937	2958824.523
938	2954926.827
939	2952201.611
940	2951051.15
